Invoice date,Item #,Lot/Inv #,Year,Make,Model,VIN,Location,Description,Left location,Date paid,Invoice amount
12/17/2025,3019,83943695,2014,JEEP,CHEROKEE L,1C4PJMDB3EW184952,NJ - TRENTON,2014 JEEP CHEROKEE LIMITED  ,12/19/2025,12/17/2025,$750.00 USD
12/17/2025,8,85693395,2020,CHEVROLET,MALIBU LT,1G1ZD5ST5LF036390,PA - PHILADELPHIA EAST-SUBLOT,2020 CHEVROLET MALIBU LT  ,12/18/2025,12/17/2025,"$1,565.00 USD"
12/17/2025,3011,93689475,2016,HONDA,CIVIC LX,19XFC2F53GE203675,NJ - TRENTON,2016 HONDA CIVIC LX  ,12/18/2025,12/17/2025,$825.00 USD
12/17/2025,26,82204014,2018,HONDA,CIVIC LX,2HGFC4B01JH305513,NJ - GLASSBORO EAST,2018 HONDA CIVIC LX,12/19/2025,12/17/2025,"$2,915.00 USD"
12/16/2025,3047,93456025,2012,FORD,F150 SUPER,1FTFW1EF2CFC75821,NJ - TRENTON,2012 FORD F150 SUPERCREW  ,12/19/2025,12/16/2025,"$1,555.00 USD"
12/16/2025,2332,92874765,2014,ACURA,TSX TECH,JH4CU2F65EC004753,NY - NEWBURGH,2014 ACURA TSX TECH  ,12/19/2025,12/16/2025,$755.00 USD
12/16/2025,109,66692225,2025,HONDA,CIVIC SPOR,2HGFE2F55SH556928,MD - BALTIMORE EAST,2025 HONDA CIVIC SPORT  ,12/19/2025,12/16/2025,"$7,065.00 USD"
12/16/2025,3286,95266055,2022,HYUNDAI,KONA SEL,KM8K6CAB7NU853497,NY - NEWBURGH,2022 HYUNDAI KONA SEL  ,12/19/2025,12/16/2025,$890.00 USD
12/16/2025,2282,69641395,2013,JEEP,GRAND CHER,1C4RJFAG2DC503116,NY - NEWBURGH,2013 JEEP GRAND CHEROKEE LAREDO  ,12/19/2025,12/16/2025,$855.00 USD
12/16/2025,19,94039795,2016,RAM,1500 ST,1C6RR7FG1GS371927,NY - NEWBURGH,2016 RAM 1500 ST  ,12/19/2025,12/16/2025,"$1,128.40 USD"
12/16/2025,7,91049875,2019,NISSAN,KICKS S,3N1CP5CU7KL496444,MD - BALTIMORE EAST,2019 NISSAN KICKS S  ,12/18/2025,12/16/2025,"$2,865.00 USD"
12/15/2025,2327,81220115,2007,LEXUS,ES 350,JTHBJ46G572140060,NJ - TRENTON,2007 LEXUS ES 350  ,12/19/2025,12/15/2025,"$1,128.00 USD"
12/15/2025,3504,84369835,2014,KIA,SOUL +,KNDJP3A58E7724951,NJ - TRENTON,2014 KIA SOUL +  ,12/19/2025,12/15/2025,"$1,140.00 USD"
12/15/2025,3503,90361235,2020,DODGE,CHARGER SX,2C3CDXBG5LH169729,NJ - TRENTON,2020 DODGE CHARGER SXT  ,12/18/2025,12/15/2025,"$1,905.00 USD"
12/15/2025,2382,70842395,2012,HONDA,CIVIC EX,2HGFG3B80CH517147,NJ - TRENTON,2012 HONDA CIVIC EX  ,12/19/2025,12/15/2025,$705.00 USD
12/15/2025,3104,91696455,2015,HONDA,ODYSSEY EX,5FNRL5H60FB109752,NJ - TRENTON,2015 HONDA ODYSSEY EXL  ,12/17/2025,12/15/2025,"$1,361.80 USD"
12/15/2025,93,92651275,2012,CHEVROLET,EXPRESS G1,1GCSGAFX8C1105303,NJ - TRENTON,2012 CHEVROLET EXPRESS G1500   ,12/17/2025,12/15/2025,$750.00 USD
12/15/2025,3037,92628025,2008,FORD,ECONOLINE,1FTNE24W78DB02823,NJ - TRENTON,2008 FORD ECONOLINE E250 VAN  ,12/19/2025,12/15/2025,$683.00 USD
12/15/2025,2345,91884455,2013,GMC,ACADIA SLE,1GKKRPKD8DJ180095,NJ - TRENTON,2013 GMC ACADIA SLE  ,12/17/2025,12/15/2025,$850.00 USD
12/15/2025,2276,93388365,2012,VOLKSWAGEN,GTI,WVWFD7AJ6CW310427,NJ - TRENTON,2012 VOLKSWAGEN GTI   ,12/18/2025,12/15/2025,"$1,605.00 USD"
12/15/2025,2261,95611975,2010,TOYOTA,COROLLA BA,2T1BU4EE5AC256165,NJ - TRENTON,2010 TOYOTA COROLLA BASE  ,12/17/2025,12/15/2025,"$2,075.00 USD"
12/15/2025,3008,90678585,2019,NISSAN,ROGUE S,KNMAT2MVXKP501825,NJ - TRENTON,2019 NISSAN ROGUE S  ,12/17/2025,12/15/2025,"$1,670.00 USD"
12/15/2025,3003,91787835,2010,DODGE,JOURNEY SX,3D4PG5FV1AT148076,NJ - TRENTON,2010 DODGE JOURNEY SXT  ,12/17/2025,12/15/2025,$450.00 USD
12/14/2025,2026,68631425,2008,HONDA,CR-V LX,JHLRE48358C078575,DC - WASHINGTON DC,2008 HONDA CR-V LX  ,12/19/2025,12/14/2025,"$1,300.00 USD"
12/12/2025,2252,93865815,2011,LINCOLN,MKZ,3LNHL2JC0BR752228,NJ - GLASSBORO EAST,2011 LINCOLN MKZ   ,12/17/2025,12/12/2025,$695.00 USD
12/12/2025,3309,95279735,2019,DODGE,GRAND CARA,2C4RDGBG8KR546696,NY - NEWBURGH,2019 DODGE GRAND CARAVAN SE  ,12/15/2025,12/12/2025,"$3,285.00 USD"
12/12/2025,3284,67494915,2017,DODGE,JOURNEY SX,3C4PDDBG8HT574364,NY - NEWBURGH,2017 DODGE JOURNEY SXT  ,12/15/2025,12/12/2025,"$2,075.00 USD"
12/12/2025,2349,91153875,2017,CHEVROLET,SONIC LS,1G1JB5SG7H4100213,PA - PHILADELPHIA,2017 CHEVROLET SONIC LS  ,12/16/2025,12/12/2025,$715.00 USD
12/12/2025,2259,95477975,2014,SUBARU,IMPREZA SP,JF1GPAL68E8220601,PA - PHILADELPHIA,2014 SUBARU IMPREZA SPORT PREMIUM  ,12/16/2025,12/12/2025,"$2,260.00 USD"
12/12/2025,2513,49073465,2017,SUBARU,IMPREZA PR,4S3GTAB69H3754005,DC - WASHINGTON DC,2017 SUBARU IMPREZA PREMIUM,12/16/2025,12/12/2025,$885.00 USD
12/12/2025,3035,94683395,2018,JEEP,COMPASS LA,3C4NJDBB1JT392547,PA - PHILADELPHIA,2018 JEEP COMPASS LATITUDE  ,12/16/2025,12/12/2025,$825.00 USD
12/12/2025,3033,93437415,2007,TOYOTA,RAV4 LIMIT,JTMBK31V376017946,PA - PHILADELPHIA,2007 TOYOTA RAV4 LIMITED  ,12/16/2025,12/12/2025,$690.00 USD
12/12/2025,2034,82318205,2008,CHEVROLET,TAHOE K150,1GNFK130X8R108064,DC - WASHINGTON DC,2008 CHEVROLET TAHOE K1500  ,12/16/2025,12/12/2025,$950.00 USD
12/12/2025,1,89863505,2018,NISSAN,MAXIMA 3.5,1N4AA6AP3JC371207,PA - PHILADELPHIA,2018 NISSAN MAXIMA 3.5S  ,12/16/2025,12/12/2025,"$3,180.00 USD"
12/11/2025,3292,95273335,2014,CADILLAC,CTS,1G6AW5SX3E0175430,NY - NEWBURGH,2014 CADILLAC CTS   ,12/15/2025,12/11/2025,"$1,600.00 USD"
12/11/2025,,6410178,,,,,PA - PHILADELPHIA,MISC INVOICE,,12/11/2025,$192.00 USD
